TAIR ID;Name;downregulated in following transcriptomes;upregulated in following transcriptomes;the number of transcriptomes where registered as DEG (FDR<0.05);start of expression changes;1 logFC_4h_SRP017925;2 logFC_4h_SRP017926;3 logFC_4h_SRP069072;4 logFC_4h_SRP076862_root;5 logFC_4h_SRP168223;6 logFC_12h_SRP017925;7 logFC_24h_SRP017925;8 logFC_4h_SRP076862_shoot;9 logFC_4h_GSE7432;10 logFC_4h_SRP126162;11 logFC_2h_SRP118634;12 logFC_4h_SRP118634;13 logFC_4h_GSE84446;14 logFC_8h_GSE84446;15 logFC_12h_GSE84446;16 logFC_24h_GSE84446;1 FDR_4h_SRP017925;2 FDR_4h_SRP017926;3 FDR_4h_SRP069072;4 FDR_4h_SRP076862_root;5 FDR_4h_SRP168223;6 FDR_12h_SRP017925;7 FDR_24h_SRP017925;8 FDR_4h_SRP076862_shoot;9 FDR_4h_GSE7432;10 FDR_4h_SRP126162;11 FDR_2h_SRP118634;12 FDR_4h_SRP118634;13 FDR_4h_GSE84446;14 FDR_8h_GSE84446;15 FDR_12h_GSE84446;16 FDR_24h_GSE84446
AT2G22900;Galactosyl transferase GMA12/MNN10 family protein(AT2G22900);10#14;;2;4h;;;;;;;;;;-0.6;;;;-0.5;;;;;;;;;;;;9.77E-05;;;;0.024569301;;
AT2G35350;poltergeist like 1(PLL1);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.025428806;;;;;;
AT1G77770;forkhead box protein, putative (DUF1644)(AT1G77770);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.000133307;;;;;;
AT1G59540;P-loop containing nucleoside triphosphate hydrolases superfamily protein(ZCF125);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.011614804;;;;;;
AT4G26140;beta-galactosidase 12(BGAL12);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.001465651;;;;;;
AT4G39210;Glucose-1-phosphate adenylyltransferase family protein(APL3);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.034764185;;;;;;
AT1G22170;Phosphoglycerate mutase family protein(AT1G22170);10#14;;2;4h;;;;;;;;;;-0.6;;;;-0.8;;;;;;;;;;;;0.008270804;;;;0.009653385;;
AT3G11700;FASCICLIN-like arabinogalactan protein 18 precursor(FLA18);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;4.29E-07;;;;;;
AT2G32620;cellulose synthase-like B(CSLB02);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.015225575;;;;;;
AT4G00370;Major facilitator superfamily protein(ANTR2);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.012705838;;;;;;
AT5G59290;UDP-glucuronic acid decarboxylase 3(UXS3);10#14-16;;4;4h;;;;;;;;;;-0.6;;;;-0.5;-0.6;-0.8;;;;;;;;;;3.63E-08;;;;0.035569565;0.042040143;0.010420183
AT1G50240;kinase family with ARM repeat domain-containing protein(FU);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.001605378;;;;;;
AT5G10020;Leucine-rich receptor-like protein kinase family protein(AT5G10020);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;4.91E-05;;;;;;
AT4G16970;Protein kinase superfamily protein(AT4G16970);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.013529001;;;;;;
AT5G15890;TRICHOME BIREFRINGENCE-LIKE 21(TBL21);10;7;2;4h;;;;;;;1.6;;;-0.6;;;;;;;;;;;;;0.021761499;;;0.016739003;;;;;;
AT5G66230;Chalcone-flavanone isomerase family protein(AT5G66230);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.004012481;;;;;;
AT3G21340;Leucine-rich repeat protein kinase family protein(AT3G21340);10#12;;2;4h;;;;;;;;;;-0.6;;-0.9;;;;;;;;;;;;;;0.010897196;;0.000830724;;;;
AT3G62570;Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G62570);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.027086012;;;;;;
AT3G10370;FAD-dependent oxidoreductase family protein(SDP6);10#14;;2;4h;;;;;;;;;;-0.6;;;;-0.5;;;;;;;;;;;;6.74E-05;;;;0.030179981;;
AT2G21600;endoplasmatic reticulum retrieval protein 1B(RER1B);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.00011652;;;;;;
AT1G61580;R-protein L3 B(RPL3B);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;7.82E-06;;;;;;
AT3G20100;cytochrome P450, family 705, subfamily A, polypeptide 19(CYP705A19);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.000240214;;;;;;
AT2G32590;condensin complex subunit(EMB2795);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.03085806;;;;;;
AT2G01630;O-Glycosyl hydrolases family 17 protein(AT2G01630);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.004205526;;;;;;
AT5G19010;mitogen-activated protein kinase 16(MPK16);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;5.17E-06;;;;;;
AT3G15300;VQ motif-containing protein(AT3G15300);10;6;2;4h;;;;;;1;;;;-0.6;;;;;;;;;;;;0.013535929;;;;0.00517969;;;;;;
AT1G12850;Phosphoglycerate mutase family protein(AT1G12850);10#12;;2;4h;;;;;;;;;;-0.6;;-0.2;;;;;;;;;;;;;;7.58E-05;;0.023584172;;;;
AT5G37010;rho GTPase-activating protein(AT5G37010);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;0.028373904;;;;;;
AT2G28520;vacuolar proton ATPase A1(VHA-A1);10;;1;4h;;;;;;;;;;-0.6;;;;;;;;;;;;;;;;6.06E-06;;;;;;
AT4G01220;Nucleotide-diphospho-sugar transferase family protein(MGP4);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.011710916;;;;;;
AT5G07870;HXXXD-type acyl-transferase family protein(AT5G07870);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.006633857;;;;;;
AT5G13060;ARMADILLO BTB protein 1(ABAP1);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.035159321;;;;;;
AT5G18520;Lung seven transmembrane receptor family protein(Cand7);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;3.08E-07;;;;;;
AT3G24040;Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT3G24040);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.000173369;;;;;;
AT3G54320;Integrase-type DNA-binding superfamily protein(WRI1);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.010254145;;;;;;
AT3G47670;Plant invertase/pectin methylesterase inhibitor superfamily protein(AT3G47670);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.008820092;;;;;;
AT1G72310;RING/U-box superfamily protein(ATL3);10#14-16;;4;4h;;;;;;;;;;-0.5;;;;-0.7;-0.7;-0.8;;;;;;;;;;0.00706321;;;;0.004775959;0.042703154;0.00848557
AT5G13840;FIZZY-related 3(FZR3);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.021812009;;;;;;
AT2G38180;SGNH hydrolase-type esterase superfamily protein(AT2G38180);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.014391609;;;;;;
AT3G51720;WEB family protein (DUF827)(AT3G51720);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.001783423;;;;;;
AT5G61000;Replication factor-A protein 1-like protein(RPA70D);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.009064205;;;;;;
AT3G30380;alpha/beta-Hydrolases superfamily protein(AT3G30380);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.002874783;;;;;;
AT4G02540;Cysteine/Histidine-rich C1 domain family protein(AT4G02540);10#12;;2;4h;;;;;;;;;;-0.5;;-0.2;;;;;;;;;;;;;;0.000504208;;0.043890334;;;;
AT1G20930;"cyclin-dependent kinase B2;2(CDKB2;2)";10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.034082729;;;;;;
AT1G52910;fiber (DUF1218)(AT1G52910);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.032317815;;;;;;
AT3G10660;calmodulin-domain protein kinase cdpk (CPK2);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;4.78E-05;;;;;;
AT5G55110;Stigma-specific Stig1 family protein(AT5G55110);10;12;2;4h;;;;;;;;;;-0.5;;0.7;;;;;;;;;;;;;;0.025250437;;0.010492026;;;;
AT4G32330;TPX2 (targeting protein for Xklp2) protein family(AT4G32330);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;1.86E-06;;;;;;
AT4G17950;AT hook motif DNA-binding family protein(AT4G17950);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.001577905;;;;;;
AT1G08960;cation exchanger 11(CAX11);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.01736701;;;;;;
AT3G52940;Ergosterol biosynthesis ERG4/ERG24 family(FK);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.001171614;;;;;;
AT3G03150;hypothetical protein(AT3G03150);10#12;;2;4h;;;;;;;;;;-0.5;;-0.7;;;;;;;;;;;;;;0.00076511;;8.59E-14;;;;
AT4G15410;serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B prime gamma(PUX5);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.000840923;;;;;;
AT4G08810;calcium ion binding protein(SUB1);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;5.03E-05;;;;;;
AT5G18690;arabinogalactan protein 25(AGP25);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.007294689;;;;;;
AT5G59870;histone H2A 6(HTA6);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;3.77E-05;;;;;;
AT3G03060;P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G03060);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.002876107;;;;;;
AT2G22620;Rhamnogalacturonate lyase family protein(AT2G22620);10#14#16;;3;4h;;;;;;;;;;-0.5;;;;-0.9;;-1;;;;;;;;;;0.02446274;;;;0.037042458;;0.031726047
AT2G02480;AAA-type ATPase family protein(STI);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;5.04E-05;;;;;;
AT1G24764;microtubule-associated proteins 70-2(MAP70-2);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.000315055;;;;;;
AT4G17100;poly(U)-specific endoribonuclease-B protein(AT4G17100);10#12;;2;4h;;;;;;;;;;-0.5;;-0.7;;;;;;;;;;;;;;0.014140572;;2.13E-05;;;;
AT2G23700;Itga6 (Protein of unknown function, DUF547)(AT2G23700);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.042733657;;;;;;
AT5G04620;biotin F(BIOF);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.023285057;;;;;;
AT4G02070;MUTS homolog 6(MSH6);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.006442323;;;;;;
AT1G11820;O-Glycosyl hydrolases family 17 protein(AT1G11820);10#12;;2;4h;;;;;;;;;;-0.5;;-0.3;;;;;;;;;;;;;;0.023661798;;0.004256277;;;;
AT3G01040;galacturonosyltransferase 13(GAUT13);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.000347363;;;;;;
AT5G50150;NEP-interacting protein, putative (DUF239)(AT5G50150);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.007851182;;;;;;
AT1G77260;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G77260);10#12;;2;4h;;;;;;;;;;-0.5;;-0.3;;;;;;;;;;;;;;0.000586241;;0.019506902;;;;
AT1G69770;chromomethylase 3(CMT3);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.000381641;;;;;;
AT2G37080;ROP interactive partner 3(RIP2);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.000533438;;;;;;
AT3G17360;phragmoplast orienting kinesin 1(POK1);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.003911055;;;;;;
AT3G49720;transmembrane protein(AT3G49720);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;1.03E-05;;;;;;
AT5G14540;basic salivary proline-rich-like protein (DUF1421)(AT5G14540);10#12;;2;4h;;;;;;;;;;-0.5;;-0.3;;;;;;;;;;;;;;3.29E-05;;0.004567494;;;;
AT4G27760;NAD(P)-binding Rossmann-fold superfamily protein(FEY);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.002746064;;;;;;
AT4G00110;UDP-D-glucuronate 4-epimerase 3(GAE3);10#12;;2;4h;;;;;;;;;;-0.5;;-0.7;;;;;;;;;;;;;;0.003209597;;0.001305101;;;;
AT3G55990;trichome birefringence-like protein (DUF828)(ESK1);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.004052652;;;;;;
AT1G26450;Carbohydrate-binding X8 domain superfamily protein(AT1G26450);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.00538511;;;;;;
AT5G22780;Adaptor protein complex AP-2, alpha subunit(AT5G22780);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;1.01E-05;;;;;;
AT2G35190;Putative plant snare 11(NPSN11);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;4.19E-05;;;;;;
AT5G06970;plant/protein (DUF810)(AT5G06970);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;5.78E-06;;;;;;
AT4G13050;Acyl-ACP thioesterase(AT4G13050);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.002570824;;;;;;
AT5G15130;WRKY DNA-binding protein 72(WRKY72);10;13#15;3;4h;;;;;;;;;;-0.5;;;1.3;;1.2;;;;;;;;;;;0.00271075;;;0.023337805;;0.02466848;
AT1G58280;Phosphoglycerate mutase family protein(AT1G58280);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.028574077;;;;;;
AT3G16200;DNA-directed RNA polymerase subunit beta(AT3G16200);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.004602465;;;;;;
AT3G01650;RING domain ligase1(RGLG1);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.008507594;;;;;;
AT4G38040;Exostosin family protein(AT4G38040);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.008062149;;;;;;
AT5G05890;UDP-Glycosyltransferase superfamily protein(AT5G05890);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.008714134;;;;;;
AT2G28510;Dof-type zinc finger DNA-binding family protein(AT2G28510);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.008234265;;;;;;
AT3G17810;pyrimidine 1(PYD1);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;1.54E-06;;;;;;
AT1G69526;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G69526);10#14-15;;3;4h;;;;;;;;;;-0.5;;;;-0.6;-0.8;;;;;;;;;;;0.003537903;;;;0.029789381;0.035554581;
AT5G57270;Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT5G57270);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.010056117;;;;;;
AT3G16630;P-loop containing nucleoside triphosphate hydrolases superfamily protein(KINESIN-13A);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;4.80E-06;;;;;;
AT1G15660;centromere protein C(CENP-C);10;14;2;4h;;;;;;;;;;-0.5;;;;0.4;;;;;;;;;;;;0.00525962;;;;0.032470427;;
AT5G42320;Zn-dependent exopeptidases superfamily protein(AT5G42320);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.002504352;;;;;;
AT2G03480;QUASIMODO2 LIKE 2(QUL2);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.004661353;;;;;;
AT1G72730;DEA(D/H)-box RNA helicase family protein(AT1G72730);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.00013564;;;;;;
AT3G27080;translocase of outer membrane 20 kDa subunit 3(TOM20-3);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.00078304;;;;;;
AT3G01380;sulfatase and phosphatidylinositolglycan class N domain-containing protein(AT3G01380);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.00124241;;;;;;
AT1G02880;thiamin pyrophosphokinase1(TPK1);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.015726945;;;;;;
AT4G23790;TRICHOME BIREFRINGENCE-LIKE 24(TBL24);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.015903255;;;;;;
AT1G64980;Nucleotide-diphospho-sugar transferases superfamily protein(CDI);10#14-15;;3;4h;;;;;;;;;;-0.5;;;;-0.7;-0.6;;;;;;;;;;;0.003301327;;;;0.013941465;0.018827144;
AT4G18030;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G18030);10#12;;2;4h;;;;;;;;;;-0.5;;-0.2;;;;;;;;;;;;;;1.38E-06;;0.0194806;;;;
AT2G25250;serine/arginine repetitive matrix-like protein(AT2G25250);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.007782703;;;;;;
AT3G11030;TRICHOME BIREFRINGENCE-LIKE 32(TBL32);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.002284131;;;;;;
AT1G20640;Plant regulator RWP-RK family protein(AT1G20640);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.023860522;;;;;;
AT4G16340;"guanyl-nucleotide exchange factors;GTPase binding;GTP binding protein(SPK1)";10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;1.30E-05;;;;;;
AT3G06035;Glycoprotein membrane precursor GPI-anchored(AT3G06035);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.001605378;;;;;;
AT4G08960;phosphotyrosyl phosphatase activator (PTPA) family protein(AT4G08960);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.005027173;;;;;;
AT1G71740;nucleolar protein(AT1G71740);10#14-16;;4;4h;;;;;;;;;;-0.5;;;;-1.4;-1.7;-1.7;;;;;;;;;;0.034471847;;;;0.007613785;0.003145264;0.003720569
AT2G40380;prenylated RAB acceptor 1.B2(PRA1.B2);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.004884079;;;;;;
AT1G12270;stress-inducible protein(Hop1);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.000316022;;;;;;
AT4G15802;heat shock factor binding protein(HSBP);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.000314982;;;;;;
AT3G12680;floral homeotic protein (HUA1)(HUA1);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.014812632;;;;;;
AT3G14720;MAP kinase 19(MPK19);10#13;;2;4h;;;;;;;;;;-0.5;;;-0.7;;;;;;;;;;;;;0.001469371;;;0.016190914;;;
AT5G25940;early nodulin-like protein(AT5G25940);10#12;;2;4h;;;;;;;;;;-0.5;;-0.9;;;;;;;;;;;;;;0.015252324;;5.35E-05;;;;
AT5G65810;transmembrane protein(CGR3);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.000364546;;;;;;
AT2G38650;galacturonosyltransferase 7(GAUT7);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;5.56E-05;;;;;;
AT1G73430;sec34-like family protein(AT1G73430);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.000146703;;;;;;
AT1G69295;plasmodesmata callose-binding protein 4(PDCB4);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.002236107;;;;;;
AT2G35840;Sucrose-6F-phosphate phosphohydrolase family protein(AT2G35840);10#13-14;;3;4h;;;;;;;;;;-0.5;;;-0.9;-1;;;;;;;;;;;;0.005160702;;;0.03274614;0.017142357;;
AT1G63050;MBOAT (membrane bound O-acyl transferase) family protein(LPLAT2);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.003829762;;;;;;
AT5G62500;end binding protein 1B(EB1B);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.015254297;;;;;;
AT4G39990;RAB GTPase homolog A4B(RABA4B);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.00494605;;;;;;
AT1G50520;cytochrome P450, family 705, subfamily A, polypeptide 27(CYP705A27);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.008870337;;;;;;
AT1G76550;Phosphofructokinase family protein(AT1G76550);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.000148428;;;;;;
AT4G29520;nucleophosmin(AT4G29520);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.002444869;;;;;;
AT1G26820;ribonuclease 3(RNS3);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.00413732;;;;;;
AT2G26600;Glycosyl hydrolase superfamily protein(AT2G26600);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.01146463;;;;;;
AT5G04160;Nucleotide-sugar transporter family protein(AT5G04160);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.010279759;;;;;;
AT2G36200;P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT2G36200);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.009648092;;;;;;
AT3G57060;binding protein(AT3G57060);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.02062642;;;;;;
AT2G01070;Lung seven transmembrane receptor family protein(AT2G01070);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.004676741;;;;;;
AT1G62320;ERD (early-responsive to dehydration stress) family protein(AT1G62320);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.017943444;;;;;;
AT1G17160;pfkB-like carbohydrate kinase family protein(AT1G17160);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.020567967;;;;;;
AT4G23740;Leucine-rich repeat protein kinase family protein(AT4G23740);10#12;;2;4h;;;;;;;;;;-0.5;;-0.3;;;;;;;;;;;;;;0.004790861;;0.015008689;;;;
AT5G55610;isopentenyl-diphosphate delta-isomerase(AT5G55610);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.000543278;;;;;;
AT1G47380;Protein phosphatase 2C family protein(AT1G47380);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.001206252;;;;;;
AT5G46280;Minichromosome maintenance (MCM2/3/5) family protein(MCM3);10;;1;4h;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;0.013907716;;;;;;
AT5G11980;conserved oligomeric Golgi complex component-related / COG complex component-like protein(AT5G11980);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.001155836;;;;;;
AT5G15470;galacturonosyltransferase 14(GAUT14);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.000699843;;;;;;
AT2G47990;transducin family protein / WD-40 repeat family protein(SWA1);10#12;;2;4h;;;;;;;;;;-0.4;;-0.5;;;;;;;;;;;;;;0.036294261;;0.000125004;;;;
AT4G29390;Ribosomal protein S30 family protein(AT4G29390);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.030059175;;;;;;
AT3G25780;allene oxide cyclase 3(AOC3);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.004577139;;;;;;
AT2G20515;pollen Ole e I family allergen protein(AT2G20515);10#12;;2;4h;;;;;;;;;;-0.4;;-0.9;;;;;;;;;;;;;;0.038889003;;0.000748446;;;;
AT2G46505;succinate dehydrogenase subunit 4(SDH4);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;8.68E-05;;;;;;
AT1G14020;O-fucosyltransferase family protein(AT1G14020);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.011906015;;;;;;
AT4G35080;high-affinity nickel-transport family protein(AT4G35080);10#12;;2;4h;;;;;;;;;;-0.4;;-0.3;;;;;;;;;;;;;;0.002013438;;0.013435961;;;;
AT1G77690;like AUX1 3(LAX3);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.000237308;;;;;;
AT2G28790;Pathogenesis-related thaumatin superfamily protein(AT2G28790);10#12;;2;4h;;;;;;;;;;-0.4;;-0.9;;;;;;;;;;;;;;0.00923597;;4.14E-09;;;;
AT5G45590;Ribosomal protein L35(AT5G45590);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.036618839;;;;;;
AT1G08010;GATA transcription factor 11(GATA11);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.022731846;;;;;;
AT4G04210;plant UBX domain containing protein 4(PUX4);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.007471941;;;;;;
AT4G37680;heptahelical protein 4(HHP4);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.003127175;;;;;;
AT5G39990;Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT5G39990);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.001690455;;;;;;
AT1G79090;topoisomerase II-associated protein(AT1G79090);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.001166938;;;;;;
AT3G58990;isopropylmalate isomerase 1(IPMI1);10#12;07.θών;4;4h;;;;;;2.6;3;;;-0.4;;-0.9;;;;;;;;;;6.16E-05;4.12E-06;;;0.029123489;;2.90E-12;;;;
AT3G26910;hydroxyproline-rich glycoprotein family protein(AT3G26910);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.032695092;;;;;;
AT5G46570;BR-signaling kinase 2(BSK2);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.02002755;;;;;;
AT1G29310;SecY protein transport family protein(AT1G29310);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.000161966;;;;;;
AT3G46940;DUTP-PYROPHOSPHATASE-LIKE 1(DUT1);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.02344456;;;;;;
AT3G54810;Plant-specific GATA-type zinc finger transcription factor family protein(BME3);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.001317789;;;;;;
AT5G63640;ENTH/VHS/GAT family protein(AT5G63640);10;;1;4h;;;;;;;;;;-0.4;;;;;;;;;;;;;;;;0.013324615;;;;;;
